Ind	Denmark	Estonia	Iceland_1	Iceland_2	Norway	Greenland	Pop
A6512	0,00001	0,00001	0,00001	0,99995	0,00001	0,00001	IS_C
A6517	0,00001	0,00001	0,99995	0,00001	0,00001	0,00001	IS_C
A6533	0,00001	0,00001	0,810906	0,167572	0,00001	0,021492	IS_C
A6541	0,00001	0,00001	0,284499	0,715461	0,00001	0,00001	IS_C
A6551	0,00001	0,000017	0,94027	0,059683	0,00001	0,00001	IS_C
A6552	0,00001	0,00001	0,450645	0,549315	0,00001	0,00001	IS_C
A7002	0,00001	0,00001	0,821208	0,178752	0,00001	0,00001	IS_C
A7028	0,00001	0,00001	0,801124	0,198836	0,00001	0,00001	IS_C
A7029	0,00001	0,00001	0,99995	0,00001	0,00001	0,00001	IS_C
A7043	0,00001	0,00001	0,99995	0,00001	0,00001	0,00001	IS_C
A7053	0,00001	0,00001	0,00001	0,99995	0,00001	0,00001	IS_C
A7057	0,00001	0,00001	0,432354	0,567606	0,00001	0,00001	IS_C
A7067	0,00001	0,00001	0,486178	0,513782	0,00001	0,00001	IS_C
A7073	0,00001	0,00001	0,663609	0,336351	0,00001	0,00001	IS_C
A7074	0,00001	0,00001	0,99995	0,00001	0,00001	0,00001	IS_C
A7093	0,00001	0,00001	0,00001	0,99995	0,00001	0,00001	IS_C
A7094	0,00001	0,00001	0,99995	0,00001	0,00001	0,00001	IS_C
A7103	0,00001	0,000013	0,00001	0,999947	0,00001	0,00001	IS_C
A7116	0,00001	0,00001	0,55765	0,44231	0,00001	0,00001	IS_C
A7134	0,00001	0,000016	0,531458	0,468496	0,00001	0,00001	IS_C
A7138	0,00001	0,00001	0,363991	0,635969	0,00001	0,00001	IS_C
A7159	0,00001	0,00001	0,909254	0,090706	0,00001	0,00001	IS_C
A7161	0,00001	0,00001	0,99995	0,00001	0,00001	0,00001	IS_C
A7168	0,00001	0,00001	0,99995	0,00001	0,00001	0,00001	IS_C
A7206	0,00001	0,00001	0,53196	0,468	0,00001	0,00001	IS_C
ISH4	0,00001	0,00001	0,00001	0,850065	0,00001	0,149895	IS_H
ISH6	0,00001	0,00001	0,317872	0,511471	0,00001	0,170626	IS_H
