"Ind"	"Denmark"	"Estonia"	"Iceland_1"	"Iceland_2"	"Norway"	"Greenland"	"Pop"
"A6512"	1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	"IS_C"
"A6517"	1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	"IS_C"
"A6533"	1e-05	1e-05	0.810906	0.167572	1e-05	0.021492	"IS_C"
"A6541"	1e-05	1e-05	0.284499	0.715461	1e-05	1e-05	"IS_C"
"A6551"	1e-05	1.7e-05	0.94027	0.059683	1e-05	1e-05	"IS_C"
"A6552"	1e-05	1e-05	0.450645	0.549315	1e-05	1e-05	"IS_C"
"A7002"	1e-05	1e-05	0.821208	0.178752	1e-05	1e-05	"IS_C"
"A7028"	1e-05	1e-05	0.801124	0.198836	1e-05	1e-05	"IS_C"
"A7029"	1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	"IS_C"
"A7043"	1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	"IS_C"
"A7053"	1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	"IS_C"
"A7057"	1e-05	1e-05	0.432354	0.567606	1e-05	1e-05	"IS_C"
"A7067"	1e-05	1e-05	0.486178	0.513782	1e-05	1e-05	"IS_C"
"A7073"	1e-05	1e-05	0.663609	0.336351	1e-05	1e-05	"IS_C"
"A7074"	1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	"IS_C"
"A7093"	1e-05	1e-05	1e-05	0.99995	1e-05	1e-05	"IS_C"
"A7094"	1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	"IS_C"
"A7103"	1e-05	1.3e-05	1e-05	0.999947	1e-05	1e-05	"IS_C"
"A7116"	1e-05	1e-05	0.55765	0.44231	1e-05	1e-05	"IS_C"
"A7134"	1e-05	1.6e-05	0.531458	0.468496	1e-05	1e-05	"IS_C"
"A7138"	1e-05	1e-05	0.363991	0.635969	1e-05	1e-05	"IS_C"
"A7159"	1e-05	1e-05	0.909254	0.090706	1e-05	1e-05	"IS_C"
"A7161"	1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	"IS_C"
"A7168"	1e-05	1e-05	0.99995	1e-05	1e-05	1e-05	"IS_C"
"A7206"	1e-05	1e-05	0.53196	0.468	1e-05	1e-05	"IS_C"
"ISH4"	1e-05	1e-05	1e-05	0.850065	1e-05	0.149895	"IS_H"
"ISH6"	1e-05	1e-05	0.317872	0.511471	1e-05	0.170626	"IS_H"
