Divergence,Iceland,Greenland,Norway,Denmark+Estonia,Norway+Denmark+Estonia,Estonia+Denmark_H+Turkey_H,,Mainland_Island,g10,g8,,Greenland_Iceland,g10,g8,,Norway_Mainland,g10,g8,,Iceland_Mainland,g10,g8,,Greenland_Mainland,g10,g8
Iceland,-,10022,17150,18390,17345,17031,,1134,11340,9072,,367,3670,2936,,449,4490,3592,,1979,19790,15832,,1429,14290,11432
Greenland,10022,-,22928,13656,22928,,,1303,13030,10424,,615,6150,4920,,93,930,744,,1303,13030,10424,,1426,14260,11408
,,,,,,,,1123,11230,8984,,650,6500,5200,,43,430,344,,1999,19990,15992,,1632,16320,13056
Iceland,-,8017.6,13720,14712,13876,13624.8,,412,4120,3296,,428,4280,3424,,99,990,792,,1731,17310,13848,,1430,14300,11440
Greenland,8017.6,-,18342.4,10924.8,18342.4,0,,441,4410,3528,,651,6510,5208,,89,890,712,,1990,19900,15920,,973,9730,7784
,,,,,,,,1063,10630,8504,,368,3680,2944,,67,670,536,,1722,17220,13776,,1676,16760,13408
,,,,,,,,1306,13060,10448,,674,6740,5392,,79,790,632,,1293,12930,10344,,1099,10990,8792
,,,,,,,,441,4410,3528,,605,6050,4840,,99,990,792,,1995,19950,15960,,1254,12540,10032
,,,,,,,,1062,10620,8496,,654,6540,5232,,91,910,728,,1302,13020,10416,,1448,14480,11584
,,,,,,,,1509,15090,12072,,335,3350,2680,,76,760,608,,1994,19940,15952,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,mean,979.4,9794,7835.2,,534.7,5347,4277.6,,118.5,1185,948,,1730.8,17308,13846.4,,1374.11111111111,12367,9893.6
,,,,,,,median,1093,10930,8744,,610,6100,4880,,90,900,720,,1855,18550,14840,,1429,14275,11420
,,,,,,,sd,401.647496084703,4016.47496084703,3213.17996867762,,141.037465471649,1410.37465471649,1128.29972377319,,117.372389333172,1173.72389333172,938.979114665378,,315.950699389073,3159.50699389073,2527.60559511258,,229.927947651239,4856.03644961609,3884.82915969287
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5777.52503915297,13810.474960847,4622.02003132238,11048.3799686776,3936.62534528351,6757.37465471649,3149.30027622681,5405.89972377319,11.2761066682799,2358.72389333172,9.02088533462165,1886.97911466538,,,,,,,
